filename,dimensionality,noise,snr,cnr,psnr,ssim,mi,reflection_err,EVR,msk_vol,spc0,spc1,spc2,org0,org1,org2,dimx,dimy,dimz,dimt,slice,modality,mriseries,mrimfg,mrimodel,mriMagneticFieldStrength,mriSAR,mriPixelBandwidth,mriPixelBandwidthPE,dti_bvalueMax,dti_bvecnorm,ol_loop,ol_lof,ol_lof_decision
NNL_1001-0615_run-001_DTIRL_000,4.0,0.02351535525,5.06005355,3.97313845,30.790638327598572,0.8233425289925645,-0.3943814941744714,0.02209957125,0.73291015625,941220.84375,1.5,1.5,1.5,-110.0064697265625,84.5013427734375,-55.221317291259766,125.25,131.25,101.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.342089,1700.0,10.352,3000.0,1.000000478667885,0.06638466920352723,0.0032631212888390012,0.0
NNL_1001-0616_run-001_DTILR_000,4.0,0.0292145015,5.4392081,4.4057691000000005,30.09532868862152,0.8475894607099704,-0.42688714765963265,0.023673083,0.748046875,916946.15625,1.5,1.5,1.5,-106.85595703125,97.7567138671875,-38.81900787353516,118.5,132.75,100.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.326811,1700.0,10.352,3000.0,1.000000478667885,0.0,0.01104556258148811,0.0
NNL_1001-0616_run-001_DTIRL_000,4.0,0.02452634725,5.661078775,4.612290875,30.956464409828186,0.8675805261861654,-0.43254218650458776,0.02488258175,0.74853515625,864421.03125,1.5,1.5,1.5,-106.85595703125,97.7567138671875,-38.81900787353516,112.0,126.5,102.75,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.326811,1700.0,10.352,3000.0,1.000000478667885,0.09964261428635614,0.004115003000267891,0.0
NNL_1001-0617_run-001_DTILR_000,4.0,0.012268148,10.276280700000001,9.218702925,37.09963142871857,0.8969623090036571,-0.239045862871904,0.01318023125,0.724196134868421,99505.125,1.5,1.5,1.5,-105.85595703125,83.5,-77.25,117.75,107.0,88.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.300413,1700.0,10.352,3000.0,1.000000478667885,0.0,0.01275389913697573,0.0
NNL_1001-0617_run-001_DTIRL_000,4.0,0.013382089,5.462413325,4.5038593,34.62781012058258,0.8729883550017883,-0.3163720039690134,0.015832979,0.76123046875,150781.5,1.5,1.5,1.5,-105.85595703125,83.5,-77.25,117.0,132.25,93.5,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.300413,1700.0,10.352,3000.0,1.000000478667885,0.0,0.005943042974477406,0.0
NNL_1001-0618_run-001_DTILR_000,4.0,0.023691148750000002,4.9383858,3.9351033749999997,32.532376646995544,0.8199709314346503,-0.36821876355628463,0.020407144,0.7412109375,746797.21875,1.5,1.5,1.5,-108.274658203125,83.5,-50.23368835449219,121.5,136.25,102.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.292937,1700.0,10.352,3000.0,1.000000478667885,0.040873211938589796,0.004700889944262409,0.0
NNL_1001-0618_run-001_DTIRL_000,4.0,0.016980118750000002,4.886109825,3.941077225,34.44121599197388,0.8818208756203664,-0.35826946333866566,0.01884344575,0.74853515625,296116.59375,1.5,1.5,1.5,-108.274658203125,83.5,-50.23368835449219,109.0,134.5,101.25,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.292937,1700.0,10.352,3000.0,1.000000478667885,0.09945820508060452,0.0053934185317630855,0.0
NNL_1001-0619_run-001_DTILR_000,4.0,0.0333313395,5.4581584,4.3751589,31.39095902442932,0.8600756293482464,-0.40251707452889124,0.02351020875,0.69873046875,1169134.59375,1.5,1.5,1.5,-105.0,78.6429443359375,-46.16474914550781,128.75,136.75,103.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.3325,1700.0,10.352,3000.0,1.000000478667885,0.2513273901445487,0.0025494630371512357,0.0
NNL_1001-0619_run-001_DTIRL_000,4.0,0.025892779249999998,5.316797125,4.25867085,31.102325916290283,0.8505571161567205,-0.3788264275154264,0.023039139,0.72900390625,1061611.3125,1.5,1.5,1.5,-105.0,78.6429443359375,-46.16474914550781,129.0,133.0,103.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.3325,1700.0,10.352,3000.0,1.000000478667885,0.0234022867069275,0.007271635604815265,0.0
NNL_1001-0620_run-001_DTILR_000,4.0,0.0312732845,5.473551575,4.37485255,28.123955726623535,0.7993041379710084,-0.4690353242371881,0.0277007575,0.7568359375,1128529.125,1.5,1.5,1.5,-107.6845703125,98.37646484375,-54.93523025512695,118.0,128.5,101.0,100.0,45.0,DTI,,Siemens,Prisma_fit,3.0,0.272254,1700.0,10.352,3000.0,1.000000478667885,0.0,0.010429770157239586,0.0
