,filename,dimensionality,noise,snr,cnr,psnr,ssim,mi,reflection_err,EVR,msk_vol,spc0,spc1,spc2,org0,org1,org2,dimx,dimy,dimz,dimt,slice,modality,mriseries,mrimfg,mrimodel,mriMagneticFieldStrength,mriSAR,mriPixelBandwidth,mriPixelBandwidthPE,dti_bvalueMax,dti_bvecnorm,ol_loop,ol_lof,ol_lof_decision
317,NNL_1001-0663_run-001_T2Flair_000,3,0.022106182,4.7805557,4.10138,17.377687692642212,0.4281905495106357,-0.6449287180748305,0.021901168,0.732421875,1928489.0,1.0,1.0,1.0,103.5,91.05072021484376,-127.0,189,240,240,1,0,T2Flair,,Siemens,Prisma_fit,3,0.124859,850,,,,0.0,0.004679030113804775,0.0
318,NNL_1001-0664_run-001_T2Flair_000,3,0.03723637,7.2080264,6.638305,14.806588888168337,0.5318725008838469,-0.7903586492564042,0.03895599,0.6953125,4446795.0,1.0,1.0,1.0,100.12650299072266,89.37020874023438,-136.1595458984375,192,240,231,1,0,T2Flair,,Siemens,Prisma_fit,3,0.110196,850,,,,0.8666376309935221,1.0,1.0
319,NNL_1001-0665_run-001_T2Flair_000,3,0.021297298,5.113996,4.4795003,21.27486228942871,0.5907542041330308,-0.6043463238230206,0.019513162,0.74609375,1784642.0,1.0,1.0,1.0,100.71065521240234,95.28086853027344,-106.5447998046875,208,230,235,1,0,T2Flair,,Siemens,Prisma_fit,3,0.119132,850,,,,0.007575440278030482,0.01063103207326763,0.0
320,NNL_1001-0666_run-001_T2Flair_000,3,0.020410556,4.4110756,3.6704445,21.77019834518433,0.5910374382699626,-0.5961804618902294,0.019563425,0.75390625,1758111.0,1.0,1.0,1.0,103.5,83.25369262695312,-104.95516967773438,206,240,234,1,0,T2Flair,,Siemens,Prisma_fit,3,0.180721,850,,,,0.0,0.008552768585333657,0.0
321,NNL_1001-0667_run-001_T2Flair_000,3,0.036349386,5.7200046,5.0672855,17.487211227416992,0.6245924308950773,-0.7959335031642413,0.034005176,0.716796875,3703232.0,1.0,1.0,1.0,94.68643951416016,101.8713836669922,-144.015625,198,240,220,1,0,T2Flair,,Siemens,Prisma_fit,3,0.106,850,,,,0.6684098103011039,0.6675617813818953,1.0
322,NNL_1001-0668_run-001_T2Flair_000,3,0.01471825,4.3647947,3.5613568,25.25487184524536,0.6953544164796251,-0.5662713047492717,0.017627908,0.701171875,774993.0,1.0,1.0,1.0,100.5190200805664,87.07608032226562,-121.0380401611328,208,225,224,1,0,T2Flair,,Siemens,Prisma_fit,3,0.104056,850,,,,0.006793626088146258,0.007890828927859535,0.0
323,NNL_1001-0669_run-001_T2Flair_000,3,0.011176544,6.166108,5.2316647,27.85795927047729,0.7909639921587525,-0.5548761814940847,0.015398695,0.697265625,248879.0,1.0,1.0,1.0,104.95083618164062,87.35432434082031,-127.0,208,182,181,1,0,T2Flair,,Siemens,Prisma_fit,3,0.147361,850,,,,0.1340473989271362,0.0033099590708053827,0.0
324,NNL_1001-0670_run-001_T2Flair_000,3,0.023360021,4.825443,4.06111,17.03733801841736,0.4184429992790019,-0.6582344508628304,0.021794787,0.7421875,1660246.0,1.0,1.0,1.0,103.5,98.07681274414062,-117.76812744140624,187,214,228,1,0,T2Flair,,Siemens,Prisma_fit,3,0.141525,850,,,,0.0,0.009827699424692214,0.0
325,NNL_1001-0671_run-001_T2Flair_000,3,0.033621415,8.172585,7.621859,16.403766870498657,0.5895942762037677,-0.7796175109353632,0.033605356,0.716796875,3203165.0,1.0,1.0,1.0,105.53389739990234,105.7796630859375,-127.0,185,222,216,1,0,T2Flair,,Siemens,Prisma_fit,3,0.0844108,850,,,,0.6976940142060607,0.5069151360945564,1.0
326,NNL_1001-0672_run-001_T2Flair_000,3,0.018377764,4.2940407,3.5384884,21.905510425567627,0.5825804578820052,-0.6149131592972455,0.018740293,0.7421875,1297378.0,1.0,1.0,1.0,103.5,84.06251525878906,-103.5268096923828,208,238,234,1,0,T2Flair,,Siemens,Prisma_fit,3,0.158826,850,,,,0.0,0.016179814040087465,0.0
327,NNL_1001-0674_run-001_T2Flair_000,3,0.020540811,4.099024,3.359085,18.79436016082764,0.4345665279546297,-0.5890762698267762,0.021318007,0.75390625,1486587.0,1.0,1.0,1.0,103.5,92.6723175048828,-93.55368041992188,195,240,237,1,0,T2Flair,,Siemens,Prisma_fit,3,0.196501,850,,,,0.11619298231124262,0.003403764401728469,0.0
